CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
03/23/2022,11:00,,,21.9477432,96.1303347,"(21.9378263, 96.1206227)",GULF AVENUE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4514413,Station Wagon/Sport Utility Vehicle,Sedan,,,
03/26/2022,3:05,BROOKLYN,11236,21.9577603,96.1402913,"(21.9477432, 96.1303347)",AVENUE J,EAST 92 STREET,,1,0,0,0,0,0,1,0,Unspecified,,,,,4513664,Sedan,,,,
03/26/2022,4:34,BRONX,10468,21.9378263,96.150318,"(21.9577603, 96.1402913)",WEST FORDHAM ROAD,CEDAR AVENUE,,1,0,0,0,0,0,1,0,Unspecified,,,,,4513725,Station Wagon/Sport Utility Vehicle,,,,
03/26/2022,19:56,BROOKLYN,11201,21.9477432,96.1603192,"(21.9378263, 96.1206227)",,,11        METROTECH CENTER,0,0,0,0,0,0,0,0,Unspecified,,,,,4514298,Sedan,,,,
03/26/2022,12:40,BROOKLYN,11219,21.9577603,96.1206227,"(21.9378263, 96.1206227)",65 STREET,FORT HAMILTON PARKWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4513573,Sedan,Sedan,,,
03/26/2022,1:58,BRONX,10472,21.9378263,96.1303347,"(21.9477432, 96.1303347)",,,1670      WATSON AVENUE,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4514201,Sedan,Sedan,,,
03/26/2022,19:56,,,21.9477432,96.1402913,"(21.9577603, 96.1402913)",GERRITSEN AVENUE,AVENUE S,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4514030,Station Wagon/Sport Utility Vehicle,,,,
03/26/2022,0:30,BROOKLYN,11221,21.9577603,96.150318,"(21.9378263, 96.1206227)",MADISON STREET,CENTRAL AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4514125,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
03/16/2022,15:44,MANHATTAN,10017,21.9378263,96.1603192,"(21.9378263, 96.1206227)",49 street,5 avenue,,1,0,1,0,0,0,0,0,Unspecified,,,,,4514194,Bike,,,,
03/26/2022,20:05,BROOKLYN,11207,21.9477432,96.1206227,"(21.9477432, 96.1303347)",BUSHWICK AVENUE,CONWAY STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4514278,Sedan,Sedan,,,
03/26/2022,17:54,BROOKLYN,11226,21.9577603,96.1303347,"(21.9577603, 96.1402913)",,,168       EAST 29 STREET,4,0,0,0,0,0,4,0,Passing Too Closely,Unspecified,,,,4513803,Sedan,Station Wagon/Sport Utility Vehicle,,,
03/25/2022,17:55,,,21.9378263,96.1402913,"(21.9378263, 96.1206227)",NOSTRAND AVENUE,,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,4514241,Sedan,Motorcycle,,,
12/12/2021,9:09,,,21.9477432,96.150318,"(21.9378263, 96.1206227)",JEROME AVENUE,,,0,1,0,1,0,0,0,0,Unspecified,,,,,4487210,Taxi,,,,
04/13/2021,16:00,BROOKLYN,11222,21.9577603,96.1603192,"(21.9477432, 96.1303347)",VANDERVORT AVENUE,ANTHONY STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4407811,Sedan,,,,
08/05/2021,18:17,,,21.9378263,96.1206227,"(21.9577603, 96.1402913)",VERRAZANO BRIDGE,,,0,0,0,0,0,0,0,0,Glare,Unspecified,,,,4456746,Sedan,Sedan,,,
03/26/2022,16:35,BROOKLYN,11235,21.9477432,96.1303347,"(21.9378263, 96.1206227)",,,3071      BRIGHTON 4 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4513878,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,
03/26/2022,19:50,MANHATTAN,10012,21.9577603,96.1402913,"(21.9378263, 96.1206227)",,,60        WASHINGTON SQUARE SOUTH,1,0,0,0,1,0,0,0,Passenger Distraction,Unspecified,,,,4513735,E-Bike,BOX VAN,,,
03/26/2022,13:19,QUEENS,11420,21.9378263,96.150318,"(21.9477432, 96.1303347)",ROCKAWAY BOULEVARD,132 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4513958,Station Wagon/Sport Utility Vehicle,Sedan,,,
03/25/2022,8:45,BROOKLYN,11230,21.9477432,96.1603192,"(21.9577603, 96.1402913)",,,1175      MC DONALD AVENUE,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,4514367,Sedan,Sedan,,,
03/26/2022,10:10,BROOKLYN,11217,21.9577603,96.1206227,"(21.9378263, 96.1206227)",UNION STREET,PLAZA STREET WEST,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4513681,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
03/26/2022,11:45,,,21.9378263,96.1303347,"(21.9378263, 96.1206227)",BROOKLYN QUEENS EXPRESSWAY,,,1,0,0,0,0,0,1,0,Reaction to Uninvolved Vehicle,Driver Inattention/Distraction,,,,4514212,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
03/25/2022,14:35,,,21.9477432,96.1402913,"(21.9477432, 96.1303347)",PORT RICHMOND AVENUE,HATFIELD PLACE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4514420,Sedan,,,,
03/26/2022,14:30,STATEN ISLAND,10305,21.9577603,96.150318,"(21.9577603, 96.1402913)",MCCLEAN AVENUE,SAND LANE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4513923,Sedan,Sedan,,,
03/26/2022,19:00,BROOKLYN,11234,21.9378263,96.1603192,"(21.9378263, 96.1206227)",,,1549      EAST 56 STREET,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4513752,Sedan,,,,
03/26/2022,2:05,,,21.9477432,96.1206227,"(21.9378263, 96.1206227)",PARSONS BOULEVARD,GRAND CENTRAL PARKWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4513924,Taxi,Pick-up Truck,,,
03/26/2022,16:40,BROOKLYN,11217,21.9577603,96.1303347,"(21.9477432, 96.1303347)",,,436       ATLANTIC AVENUE,2,0,0,0,0,0,2,0,Passing or Lane Usage Improper,Unspecified,,,,4513860,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
03/24/2022,18:05,BROOKLYN,11206,21.9378263,96.1402913,"(21.9577603, 96.1402913)",MARCY AVENUE,ELLERY STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4514251,Sedan,Station Wagon/Sport Utility Vehicle,,,
03/26/2022,3:35,,,21.9477432,96.150318,"(21.9378263, 96.1206227)",179 STREET,,,1,0,0,0,0,0,1,0,Reaction to Uninvolved Vehicle,Unspecified,,,,4513478,Sedan,Station Wagon/Sport Utility Vehicle,,,
03/20/2022,10:34,MANHATTAN,10024,21.9577603,96.1603192,"(21.9378263, 96.1206227)",WEST 76 STREET,CENTRAL PARK WEST,,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,4514302,Sedan,,,,
